Subject_ID,QC_rawdata_dwi_PASS_1_FAIL_0,rawdata_dir-AP_dwi,rawdata_dir-AP_b0_volume,rawdata_dir-PA_dwi,rawdata_dir-PA_b0_volume
NENAH024,1,sub-NENAH024_dir-AP_run-1_dwi.nii.gz,0,sub-NENAH024_dir-PA_run-1_dwi.nii.gz,0
NENAH022,1,sub-NENAH022_dir-AP_run-1_dwi.nii.gz,0,sub-NENAH022_dir-PA_run-1_dwi.nii.gz,3
NENAH029,1,sub-NENAH029_dir-AP_run-1_dwi.nii.gz,0,sub-NENAH029_dir-PA_run-1_dwi.nii.gz,0
NENAHC010,1,sub-NENAHC010_dir-AP_run-1_dwi.nii.gz,0,sub-NENAHC010_dir-PA_run-1_dwi.nii.gz,0
NENAHC013,1,sub-NENAHC013_dir-AP_run-1_dwi.nii.gz,0,sub-NENAHC013_dir-PA_run-1_dwi.nii.gz,0
NENAHC016,1,sub-NENAHC016_dir-AP_run-1_dwi.nii.gz,0,sub-NENAHC016_dir-PA_run-1_dwi.nii.gz,0
NENAHC018,1,sub-NENAHC018_dir-AP_run-1_dwi.nii.gz,0,sub-NENAHC018_dir-PA_run-1_dwi.nii.gz,3
NENAHC020,1,sub-NENAHC020_dir-AP_run-1_dwi.nii.gz,0,sub-NENAHC020_dir-PA_run-1_dwi.nii.gz,0
NENAHC025,1,sub-NENAHC025_dir-AP_run-1_dwi.nii.gz,0,sub-NENAHC025_dir-PA_run-1_dwi.nii.gz,0
NENAH002,1,sub-NENAH002_dir-AP_run-1_dwi.nii.gz,0,sub-NENAH002_dir-PA_run-1_dwi.nii.gz,0
NENAH004,1,sub-NENAH004_dir-AP_run-1_dwi.nii.gz,0,sub-NENAH004_dir-PA_run-1_dwi.nii.gz,2
NENAH005,0,sub-NENAH005_dir-AP_run-1_dwi.nii.gz,0,sub-NENAH005_dir-PA_run-1_dwi.nii.gz,0
NENAH007,0,sub-NENAH007_dir-AP_run-1_dwi.nii.gz,3,sub-NENAH007_dir-PA_run-1_dwi.nii.gz,2
NENAH008,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAH010,1,sub-NENAH010_dir-AP_run-1_dwi.nii.gz,4,sub-NENAH010_dir-PA_run-1_dwi.nii.gz,0
NENAH011,1,sub-NENAH011_dir-AP_run-1_dwi.nii.gz,0,sub-NENAH011_dir-PA_run-1_dwi.nii.gz,0
NENAH012,1,sub-NENAH012_dir-AP_run-1_dwi.nii.gz,2,sub-NENAH012_dir-PA_run-1_dwi.nii.gz,2
NENAH014,0,sub-NENAH014_dir-AP_run-1_dwi.nii.gz,0,no_correct_coverage,
NENAH015,1,sub-NENAH015_dir-AP_run-1_dwi.nii.gz,0,sub-NENAH015_dir-PA_run-1_dwi.nii.gz,0
NENAH016,1,sub-NENAH016_dir-AP_run-1_dwi.nii.gz,0,sub-NENAH016_dir-PA_run-1_dwi.nii.gz,0
NENAH018,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAH019,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAH021,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAH025,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAH027,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAH031,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAH033,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC001,0,sub-NENAHC001_dir-AP_run-1_dwi.nii.gz,3,Bad_conversion_NO_4D_instead_all_in_3D,
NENAHC002,1,sub-NENAHC002_dir-AP_run-1_dwi.nii.gz,0,sub-NENAHC002_dir-PA_run-1_dwi.nii.gz,0
NENAHC003,1,sub-NENAHC003_dir-AP_run-1_dwi.nii.gz,0,sub-NENAHC003_dir-PA_run-1_dwi.nii.gz,2
NENAHC006,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC007,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC008,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC009,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC011,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC012,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC014,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC015,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC017,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC022,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC023,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC024,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC026,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC027,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
NENAHC028,0,no_data_in_BIDS_rawdata/dwi,,no_data_in_BIDS_rawdata/dwi,
